City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,fujin,47.26,132.0322,-30.43,95,49,3.25,CN,1674848380
1,thinadhoo,0.5333,72.9333,27.28,75,49,2.7,MV,1674848381
2,methoni,36.8197,21.7049,10.68,78,42,2.09,GR,1674848381
3,cuauhtemoc,28.4167,-106.8667,13.3,16,100,2.55,MX,1674848382
4,santa maria,-29.6842,-53.8069,32.61,52,40,6.17,BR,1674848286
5,galesong,-5.3166,119.3661,24.01,90,100,4.63,ID,1674848382
6,xique-xique,-10.8218,-42.7263,30.26,46,80,0.89,BR,1674848383
7,znamenskoye,57.1281,73.8282,-5.63,96,100,3.52,RU,1674848383
8,iqaluit,63.7506,-68.5145,-34.15,68,20,6.17,CA,1674848383
9,altay,47.8667,88.1167,-16.15,63,1,2.71,CN,1674848384
10,cap malheureux,-19.9842,57.6142,25.82,90,100,2.98,MU,1674848384
11,mardin,37.3131,40.7436,4.59,42,40,2.06,TR,1674848384
12,charyshskoye,51.3978,83.5598,-11.04,83,100,2.44,RU,1674848385
13,juana diaz,18.0525,-66.5066,27.48,74,75,5.1,PR,1674848385
14,ushuaia,-54.8,-68.3,12.81,62,75,8.75,AR,1674848386
15,bluff,-46.6,168.3333,10.73,72,2,2.62,NZ,1674848386
16,mesyagutovo,55.5303,58.2528,-8.68,88,100,7.52,RU,1674848387
17,chuy,-33.6971,-53.4616,27.26,69,86,5.92,UY,1674848387
18,kapaa,22.0752,-159.319,21.99,66,84,1.34,US,1674848388
19,dina,52.9335,-110.0849,-14.77,84,100,3.88,CA,1674848388
20,carnarvon,-24.8667,113.6333,23.45,69,0,9.9,AU,1674848388
21,vestmannaeyjar,63.4427,-20.2734,4.8,62,100,12.87,IS,1674848389
22,rikitea,-23.1203,-134.9692,26.04,74,41,5.75,PF,1674848389
23,dikson,73.5069,80.5464,-20.92,94,100,5.83,RU,1674848389
24,puerto colombia,10.9878,-74.9547,29.05,70,32,10.48,CO,1674848390
25,penzance,50.1186,-5.5371,4.38,71,79,4.56,GB,1674848390
26,mataura,-46.1927,168.8643,11.26,66,1,1.33,NZ,1674848391
27,yulara,-25.2406,130.9889,24.58,71,100,2.29,AU,1674848391
28,bethel,41.3712,-73.414,5.52,54,100,0.45,US,1674848147
29,cape town,-33.9258,18.4232,21.17,76,0,8.75,ZA,1674848343
30,hambantota,6.1241,81.1185,24.12,82,100,5.08,LK,1674848392
31,port elizabeth,-33.918,25.5701,24.5,91,75,4.63,ZA,1674848392
32,nanortalik,60.1432,-45.2371,1.15,96,100,8.13,GL,1674848393
33,albany,42.6001,-73.9662,2.42,72,100,1.25,US,1674848135
34,sitka,57.0531,-135.33,4.94,87,75,3.09,US,1674848393
35,carbondale,37.7273,-89.2168,10.03,57,0,12.35,US,1674848394
36,punta arenas,-53.15,-70.9167,15.06,51,75,13.38,CL,1674848394
37,shunyi,40.125,116.6453,-2.03,24,0,5.0,CN,1674848394
38,lebu,-37.6167,-73.65,16.51,68,2,8.42,CL,1674848395
39,petropavlovsk-kamchatskiy,53.0452,158.6483,-4.67,68,75,5.0,RU,1674848395
40,kosa,59.9445,54.9977,-5.43,95,100,3.21,RU,1674848396
41,pangoa,-12.1167,-73.0,26.72,64,65,2.3,PE,1674848397
42,itoman,26.1247,127.6694,12.01,54,75,11.83,JP,1674848397
43,klaksvik,62.2266,-6.589,5.51,73,86,15.04,FO,1674848397
44,saskylakh,71.9167,114.0833,-38.43,93,18,4.26,RU,1674848398
45,jiuquan,39.7432,98.5174,-12.75,60,30,2.32,CN,1674848398
46,mount isa,-20.7333,139.5,23.87,73,20,0.0,AU,1674848399
47,goderich,43.7501,-81.7165,-1.72,74,100,8.75,CA,1674848399
48,baculin,7.4525,126.5842,24.71,87,100,2.32,PH,1674848400
49,touros,-5.1989,-35.4608,28.01,68,0,6.17,BR,1674848400
50,adre,13.4667,22.2,23.82,13,17,3.54,TD,1674848400
51,la asuncion,11.0333,-63.8628,25.44,69,22,5.85,VE,1674848401
52,hilo,19.7297,-155.09,23.4,86,75,4.63,US,1674848379
53,sergeyevka,53.88,67.4158,-8.77,94,97,6.22,KZ,1674848402
54,butaritari,3.0707,172.7902,27.37,77,12,7.72,KI,1674848402
55,trelew,-43.249,-65.3051,26.62,16,0,2.05,AR,1674848403
56,kikwit,-5.041,18.8162,22.74,87,58,1.13,CD,1674848403
57,arraial do cabo,-22.9661,-42.0278,28.98,74,40,7.2,BR,1674848404
58,hermanus,-34.4187,19.2345,21.56,87,1,1.59,ZA,1674848404
59,hithadhoo,-0.6,73.0833,27.22,76,66,3.03,MV,1674848405
60,camana,-16.6228,-72.7111,24.6,75,99,3.28,PE,1674848405
61,opuwo,-18.0607,13.84,22.42,63,76,4.22,NA,1674848405
62,aklavik,68.2191,-135.0107,-26.0,76,75,2.06,CA,1674848406
63,westport,41.1415,-73.3579,6.62,58,100,4.63,US,1674848406
64,ihosy,-22.4,46.1167,20.79,94,100,3.46,MG,1674848407
65,pevek,69.7008,170.3133,-26.14,86,100,1.66,RU,1674848407
66,vaini,-21.2,-175.2,25.09,94,100,1.03,TO,1674848408
67,clyde river,70.4692,-68.5914,-25.87,70,100,10.29,CA,1674848408
68,asfi,32.2994,-9.2372,14.38,56,100,5.22,MA,1674848409
69,naifaru,5.4444,73.3657,26.94,75,11,5.51,MV,1674848409
70,tulum,20.2167,-87.4667,22.67,93,98,3.63,MX,1674848410
71,le mars,42.7942,-96.1656,-2.27,86,100,6.69,US,1674848410
72,provideniya,64.3833,-173.3,-16.15,95,51,6.84,RU,1674848411
73,russell,32.3502,-85.1999,11.67,40,40,3.09,US,1674848411
74,torbay,47.6666,-52.7314,5.32,80,75,11.32,CA,1674848412
75,san patricio,28.017,-97.5169,17.13,66,100,3.09,US,1674848412
76,isla mujeres,21.2311,-86.731,22.03,84,94,9.33,MX,1674848413
77,aykino,62.2248,49.9922,-12.02,96,51,2.55,RU,1674848413
78,jamestown,42.097,-79.2353,-2.23,73,100,7.2,US,1674848266
79,maine-soroa,13.2114,12.0241,26.81,11,8,4.16,NE,1674848414
80,grindavik,63.8424,-22.4338,3.26,65,75,14.4,IS,1674848414
81,mar del plata,-38.0023,-57.5575,23.01,88,75,6.17,AR,1674848415
82,faanui,-16.4833,-151.75,27.04,75,12,6.05,PF,1674848415
83,vila franca do campo,37.7167,-25.4333,13.23,79,78,3.95,PT,1674848416
84,souillac,-20.5167,57.5167,25.21,94,75,1.03,MU,1674848416
85,lander,42.833,-108.7307,3.1,65,0,3.6,US,1674848417
86,maketu,-37.7667,176.45,22.23,100,100,8.26,NZ,1674848417
87,broken hill,-31.95,141.4333,24.62,19,24,5.47,AU,1674848418
88,busselton,-33.65,115.3333,11.07,82,0,4.86,AU,1674848418
89,griffith,41.5284,-87.4237,0.5,88,100,7.72,US,1674848419
90,quelimane,-17.8786,36.8883,26.97,83,20,0.0,MZ,1674848419
91,georgetown,5.4112,100.3354,26.96,82,20,2.57,MY,1674848162
92,leshukonskoye,64.8989,45.7622,-9.34,96,96,3.42,RU,1674848420
93,barcelos,41.5388,-8.6151,9.91,79,1,3.9,PT,1674848421
94,guntakal,15.1667,77.3833,19.58,57,0,3.28,IN,1674848421
95,codrington,-38.2667,141.9667,25.06,22,100,8.04,AU,1674848421
96,saint-philippe,-21.3585,55.7679,26.77,88,82,1.79,RE,1674848422
97,yenagoa,4.9247,6.2642,27.02,76,21,3.48,NG,1674848422
98,ust-nera,64.5667,143.2,-36.07,100,95,0.69,RU,1674848423
99,faya,18.3851,42.4509,12.06,73,2,0.77,SA,1674848423
100,avarua,-21.2078,-159.775,28.03,78,20,3.6,CK,1674848236
101,severo-kurilsk,50.6789,156.125,-3.44,84,95,12.58,RU,1674848424
102,kieta,-6.2167,155.6333,25.72,83,60,0.12,PG,1674848425
103,saint anthony,45.0205,-93.218,-5.22,72,20,8.75,US,1674848425
104,ramos arizpe,25.55,-100.9667,15.46,61,75,0.0,MX,1674848425
105,gwanda,-20.9333,29.0,21.57,51,95,2.3,ZW,1674848426
106,matara,5.9485,80.5353,23.47,87,100,1.86,LK,1674848426
107,zaltan,32.947,11.8665,10.97,44,4,6.21,LY,1674848427
108,san isidro,-12.1167,-77.05,23.77,69,0,5.66,PE,1674848427
109,luancheng,37.8792,114.6517,-7.91,20,0,2.33,CN,1674848428
110,san gabriel,34.0961,-118.1058,21.91,30,0,1.54,US,1674848428
111,tasiilaq,65.6145,-37.6368,-5.91,66,100,3.34,GL,1674848429
112,kodiak,57.79,-152.4072,-0.27,86,100,2.06,US,1674848429
113,tocopilla,-22.092,-70.1979,23.31,74,91,4.13,CL,1674847907
114,new norfolk,-42.7826,147.0587,17.72,61,100,1.62,AU,1674848430
115,aswan,24.0934,32.907,22.61,26,0,2.06,EG,1674848430
116,atuona,-9.8,-139.0333,26.08,74,67,9.29,PF,1674848431
117,puerto escondido,15.85,-97.0667,29.46,61,0,2.57,MX,1674848431
118,khatanga,71.9667,102.5,-23.19,88,100,7.64,RU,1674848432
119,ponta do sol,32.6667,-17.1,16.35,66,27,3.95,PT,1674848432
120,chitral,35.8462,71.7858,-2.86,42,69,3.62,PK,1674848433
